Added PV: IOC_MTCA:m0s002-BI01-TimeRiseTS
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:07.999000 -13039.204688501472
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:08.999000 -12625.0013738337
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:09.999000 -12449.798059165929
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:11.999000 -12274.594744498158
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:12.999000 -12337.391429830386
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:14.999000 -12162.188115162615
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:16.999000 -12224.984800494844
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:17.999000 -12049.781485827072
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:27.999000 -12112.5781711593
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:43.999000 -12175.374856491544
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:55.999000 -12238.171541823773
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:56.999000 -12062.968227156001
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:57.999000 -12125.76491248823
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:23:58.999000 -11950.561597820459
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:01.999000 -12013.358283152687
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:18.999000 -12077.154968484916
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:33.999000 -12139.951653817145
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:35.999000 -11964.748339149373
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:37.999000 -12027.545024481602
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:50.999000 -12090.34170981383
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:51.999000 -11915.13839514606
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:24:52.999000 -11977.935080478288
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:07.999000 -12159.731765810517
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:23.999000 -12223.528451142745
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:27.999000 -12286.325136474974
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:28.999000 -11991.121821807203
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:29.999000 -12054.918507139431
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:35.999000 -11878.71519247166
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:36.999000 -11942.511877803903
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:50.999000 -12005.308563136132
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:51.999000 -11830.10524846836
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:53.999000 -11892.90193380059
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:54.999000 -11717.698619132818
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:25:55.999000 -11780.495304465047
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:13.999000 -11843.291989797275
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:14.999000 -11668.088675129504
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:17.999000 -11730.885360461732
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:27.999000 -11912.682045793961
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:28.999000 -11618.47873112619
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:35.999000 -11681.275416458418
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:36.999000 -11506.072101790647
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:37.999000 -11568.868787122876
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:26:56.999000 -11631.665472455104
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:09.999000 -11695.462157787333
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:13.999000 -11519.258843119562
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:14.999000 -11583.05552845179
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:15.999000 -11406.852213784034
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:16.999000 -11470.648899116262
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:17.999000 -11294.445584448491
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:24.999000 -11358.24226978072
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:25.999000 -11182.038955112948
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:26.999000 -11245.835640445177
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:27.999000 -11308.632325777406
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:29.999000 -11133.429011109634
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:30.999000 -11196.225696441863
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:35.999000 -11021.022381774092
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:37.999000 -11083.81906710632
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:41.999000 -10908.615752438549
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:42.999000 -10971.412437770778
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:53.999000 -10796.209123103006
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:54.999000 -10859.005808435235
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:55.999000 -10683.802493767464
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:56.999000 -10746.599179099692
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:57.999000 -10571.395864431921
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:58.999000 -10634.19254976415
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:27:59.999000 -10458.989235096393
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:00.999000 -10521.785920428621
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:04.999000 -10584.58260576085
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:27.999000 -10766.379291093079
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:28.999000 -10591.175976425307
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:29.999000 -10415.972661757536
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:30.999000 -10478.769347089765
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:31.999000 -10303.566032421993
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:32.999000 -10366.362717754222
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:33.999000 -10191.15940308645
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:34.999000 -10253.95608841868
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:35.999000 -10078.752773750908
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:51.999000 -10141.549459083137
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:55.999000 -9966.346144415365
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:28:56.999000 -10029.142829747594
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:29:16.999000 -10091.939515079823
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:29:17.999000 -9916.736200412051
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:29:25.999000 -9979.53288574428
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:29:45.999000 -10043.329571076523
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:08.999000 -10106.126256408752
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:09.999000 -9930.92294174098
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:13.999000 -9993.71962707321
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:25.999000 -10056.516312405438
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:28.999000 -9881.312997737667
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:34.999000 -9944.109683069895
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:36.999000 -9768.906368402124
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:40.999000 -9831.703053734353
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:30:58.999000 -10014.499739066581
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:31:03.999000 -9719.29642439881
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:31:04.999000 -9902.093109731039
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:31:13.999000 -9964.889795063267
IOC_MTCA:m0s002-BI01-TimeRiseTS 2022-06-07 15:31:14.999000 -9789.686480395496
