Added PV: IOC_MTCA:m0s002-BI02-TimeRiseTS
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:07.999000 -12919.652168779794
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:08.999000 -12505.245568459097
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:09.999000 -12208.8389681384
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:10.999000 -12032.432367817702
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:11.999000 -11856.025767497005
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:12.999000 -11917.619167176308
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:17.999000 -11741.212566855611
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:21.999000 -11802.805966534914
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:22.999000 -11626.399366214217
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:24.999000 -11687.99276589352
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:25.999000 -11511.586165572822
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:27.999000 -11692.179565252125
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:28.999000 -11515.772964931428
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:37.999000 -11577.36636461073
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:38.999000 -11400.959764290033
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:41.999000 -11462.553163969336
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:52.999000 -11644.146563648625
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:54.999000 -11347.739963327927
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:23:55.999000 -11529.33336300723
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:14.999000 -11590.926762686533
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:15.999000 -11414.520162365836
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:18.999000 -11476.113562045139
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:33.999000 -11537.706961724441
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:45.999000 -11599.300361403744
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:46.999000 -11422.893761083047
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:50.999000 -11484.48716076235
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:55.999000 -11546.080560441653
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:24:56.999000 -11369.673960120956
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:00.999000 -11431.267359800258
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:01.999000 -11254.860759479561
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:07.999000 -11316.454159158864
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:14.999000 -11379.047558838167
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:15.999000 -11201.64095851747
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:16.999000 -11264.234358196773
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:17.999000 -11086.827757876075
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:19.999000 -11149.421157555378
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:20.999000 -10972.014557234681
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:23.999000 -11034.607956913984
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:27.999000 -11096.201356593287
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:28.999000 -10919.79475627259
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:43.999000 -10981.388155951892
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:47.999000 -10804.981555631195
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:25:48.999000 -10866.574955310498
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:02.999000 -10928.1683549898
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:07.999000 -10751.761754669104
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:08.999000 -10813.355154348406
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:21.999000 -10874.94855402771
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:22.999000 -10698.541953706997
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:23.999000 -10760.1353533863
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:27.999000 -10821.728753065603
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:28.999000 -10526.322152744906
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:33.999000 -10587.915552424209
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:53.999000 -10649.508952103512
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:58.999000 -10712.102351782814
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:26:59.999000 -10534.695751462117
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:27:02.999000 -10597.28915114142
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:27:03.999000 -10419.882550820723
IOC_MTCA:m0s002-BI02-TimeRiseTS 2022-06-07 15:27:08.999000 -10482.475950500026
